,femaleASspeech,maleASspeech,femaleASsing,maleASsing,femaleMC,maleMC,femaleLM,maleLM
14,Xup8JACGMpw,430zq0knIPY,2-w1s8S3j9A,C2YAdYydFH4,VV-DgnPPhSo,No4Bi6mG1J8,Woman00188.wav,Man00257.wav
15,K8pjMUyqOOc,50gCCFjjY8s,-lRc3Oeei94,-Jguv1xOgoI,LAxCq-s84F8,-5f6hjZf9Yw,Woman01011.wav,Man00627.wav
16,wtpkAnyoeZ8,3ZDqlRN2xQI,5O3p_4BNNCs,3KoeDNYSvnA,kZBFQAQI7Pg,2z1elo4ucis,Woman00828.wav,Man00867.wav
17,79XjVmV0HZs,556NcpXy-JU,2wad5UngnTY,0aseylJSm6I,B7V_grbxflg,2I6pPRWKsCQ,Woman00142.wav,Man00722.wav
18,otfg1bYC8n0,6PK3yW2_xeI,Fvn_3tTQE9s,11dkkzyLhu8,THhptTKMr9U,ONfd_rHtL74,Woman00161.wav,Man00308.wav
19,0yFIuMaAXrU,9nZM7X3xmmU,-IX-I7XVCvA,5PiDGwmiBps,5aCDam9_Ps4,hj7VJnNq6A4,Woman00981.wav,Man00109.wav
20,9c5p3JJ40M8,20-dXlw8oXk,5PeOr1wDs94,4ntpQTH8Pk0,suX7Cri4kAo,3noh9LiQNrs,Woman00299.wav,Man00925.wav
21,xp0Ds3d58bU,QWVwQKG8B-s,3Yd1QYYB_sI,ABt-mfRoaz8,n_boIyhZqWc,qbexOeoH5hg,Woman00920.wav,Man00942.wav
22,EVPMKy8q1-w,upSJ6nOk5iA,10UdWNMgAZk,6wp9RhxqRbI,lFv1MJSSWNs,-6pcgdLfb_A,Woman00537.wav,Man00223.wav
23,c43dj0Amgng,AmNNcsa_OK8,0Xuk0kk194c,7o5OowyeQ0g,y_TnstfXeBQ,RmDfwz0OG8E,Woman00527.wav,Man00247.wav
24,GWymNAjnISU,vMu84J5XE2Y,6ev8OZMgfqY,24jAp2DyIqM,18mS4cLPOb8,eAFKjP7o1as,Woman00951.wav,Man00609.wav
25,GuIbie1fnes,YAhfipQ3cOQ,4ztDelr8LdA,6GduljB_Tok,tRA-5inwlMI,HpkPTa1fQDE,Woman00752.wav,Man00291.wav
26,YGybHHQa6x0,VanbF3EVhc4,73C0TpydlKc,2it6CbsRnUM,cTzJlLzN-xU,aO0QzRPiEC4,Woman00254.wav,Man00893.wav
27,JH_sRfsX0Ow,NRy5ZZ8y1N0,20ksMJO5f5k,-O1Wh6MiKYY,EsssGCL-Axw,c3T1gWSVp6c,Woman00303.wav,Man00296.wav
28,xMj4Ksw4EZs,7d_oVEzI7os,6XQqYVdFlPE,0uwcBw2IlV8,5qVc9y3TNnY,Y1ItBiA8nKU,Woman00841.wav,Man00945.wav
29,c4usfm_HiWM,Ny0xLqr4aKw,0OmpUtiUuDo,3g9zWMbdSUM,NC5tIv4-8fg,7cvqeU9Wh-I,Woman00392.wav,Man00910.wav
30,nafJDOrnASU,BH6fEqwHMkU,02QLgD9fva0,5dJqNoH45nA,vQcB6NI7cMo,dqJSTTS7HTY,Woman00982.wav,Man00477.wav
31,JPyNM3K7Zsg,1h4893C62M0,3i6fcm1kTvo,44gwwoUIgSU,mwqluX7sXXU,yFh6J72KnCM,Woman00329.wav,Man00817.wav
32,dzP_Jnbs4Qg,kSRKWP-nCkw,4I5Hj1_IoUg,6cIwmNXQyu0,zU4mwg-HHoQ,0x6chChxzV0,Woman00061.wav,Man00104.wav
33,0ZAV863ATOU,Qwl2euQZpIA,0zIloqDgk9s,68mXBsDCMZU,VswY2mI7Wbo,FteW_2gNtD4,Woman00365.wav,Man00254.wav
34,-ZVD1Y6XXGk,4yvImKgcJLo,0Rv2mYWij9w,2WLPSmjvqfQ,JmbrGzgxrJ4,4l441DdEJfU,Woman00361.wav,Man00912.wav
35,2BASEDwYDRA,-t03ktje7jE,6-21-X-mJmY,7ECHqhYvxCI,Gh4KBdcCU64,Le4aGNS8e0c,Woman00441.wav,Man00081.wav
36,GMy6xyuqlf4,C-mambp4FvU,6iDbDIQP2sQ,-oDQUndfR6I,9ZryMX2UtAo,Q789S_9JCio,Woman00687.wav,Man00924.wav
37,cGhyvGJS_3U,0OUlys-rLYs,5XxocckHpg8,-6kS7OGMk1k,xIdWJyhWueE,chfTjqlrFQQ,Woman00940.wav,Man00219.wav
38,qcP4iDPPVOg,dATn2AG7ijk,mSRvB31Fvd4,5Nz5oL3Xvrw,snJDZAnTMwQ,u0CgRmXMXNc,Woman00683.wav,Man00269.wav
39,D2_1d6Nt8qU,eKXShntabKw,45bhwukIBco,24zbodE5jyc,cS2gRhH6it4,afavVsmFWds,Woman00214.wav,Man00168.wav
40,54F98NkNUQY,12pYlP3Yg0Q,620RrgPpPY0,-0atYHAfGHA,-r7iz-9v9bA,mB2FAS0DNkk,Woman00652.wav,Man00759.wav
41,8Ru3lqNmuFs,4uDuFz4kP0E,eOOEQJY3W7s,7TZ44us7hks,2dyEnOo3yJ8,6OcoDIrbMtY,Woman00768.wav,Man00443.wav
42,h92DYAmIjSg,sMMDIwtbdas,0jqMEt3aNQA,1hzLdKlvpQg,p_dE26TA8ig,nT1YAP4Vy9s,Woman00548.wav,Man00341.wav
43,4rSIgRMjMqo,dqYzzLG-lO8,1TczY7BXOPg,4TkR667BV9I,nvrMO6TDu2g,7OgH3B49_E4,Woman00110.wav,Man00982.wav
44,Gr6VSc5sqpA,4HstJhW7zMc,15nDG6EhYM4,27Xvn2ZO1Fs,HHZGjS4g-w4,bTlp5Qr99RY,Woman00338.wav,Man00324.wav
45,hnT2Y1WDhB0,uNfut4_mcvM,1_M-FddnmL8,7OK8SOJbq0g,ADxuhHNZVCc,l6LUPlmua6I,Woman00073.wav,Man00304.wav
46,oPTmKZtAAtc,7k2SEirjd0Y,7C_y0zyZT8M,17Pb8ECWmTQ,U6aLiMIlqCc,08u-jdwjM74,Woman00268.wav,Man00393.wav
47,Yi1v0YlHdX4,5wwD-nrdpBU,1znyJRkNIzw,25VoFqv__2w,JUrYWttZJBM,URM1QgX5Ar4,Woman00177.wav,Man00399.wav
48,AWwfjFaaUgE,girRHKD6Cls,2nmRTVFg9PM,62ia7pDeQFk,wGievbsKUnk,k8AE-vqWbm4,Woman00012.wav,Man00589.wav
49,DY3ebi02JSM,KRvLebIrPD0,16BFwMqoCPQ,4HBcEXcBGk8,MKXeCiPtZwo,CHufyCHSF1U,Woman00104.wav,Man00902.wav
50,JDnM31XSJ6U,-mmQUFpUMBc,3yBCmLO2tEo,20PEs3NOBGM,FDYIdBZUl2Y,0bRUkLsttto,Woman00986.wav,Man00453.wav
51,AP-WiyXUt5s,WSCxlP1kfQg,4L8aEL7D1dc,1NhUJBBgdeo,S7TYAcOEPt4,9A_OmOetiuw,Woman00564.wav,Man00740.wav
52,0GTSnitfoS8,L33Fd4JTIhM,5kGsASMR3Vo,56_bE5_Ph6Q,0TiEO149Ydc,YcfGSJB1YvQ,Woman00415.wav,Man00063.wav
53,C4u7g0W9QmA,czxoVP9RYJk,0Mo9oUnsgDA,4G37r0RNixQ,H4rdJlSSt5Y,rS8oECcQBCk,Woman00547.wav,Man00694.wav
54,AqqAEnuFuJQ,76LVxyRRovM,2-q-zk6O5Zc,0uTl0zo_UFU,62L5kn1qFeY,I5KHYgtrVBw,Woman00289.wav,Man00380.wav
55,oYwntZEMolo,xp1wWcq-OR4,6tgBAuZMaUA,6vKJ4OsIgMw,fH9CY48sfJY,WySgNm8qH-I,Woman00139.wav,Man00495.wav
56,yVhoEQ36MmE,VB7ulnB3KkM,DJE2eD7PjY0,64CdRx6Tqag,eWwWwoQLtVg,Zy_YSROQmlE,Woman00463.wav,Man00392.wav
57,i8RfN20PoIc,B7w_7cFwQLc,TBfwoIFQELA,4laTs3DHDgM,MVAXHT67Na4,AOgbZUl0y0A,Woman00267.wav,Man00058.wav
58,qbEhpPxkIM8,0OzwOMjZhWw,17vFiTaPqXk,765hdZ1CnFA,t9aSL2MwEDM,Tvwi_YuLehk,Woman00032.wav,Man00025.wav
59,tZ36uXmahiw,CAT5h0dqt2k,7Na9uJ02V6E,3RnUwRYtypQ,7Msk_hkz6zk,eyY6f4iQDH4,Woman00542.wav,Man00032.wav
60,IxtjeENm0js,NILZ_N1Q1Ek,3Ylgx3hlRH4,-xLlPTSdPD0,2-K-7T8ZIWA,PfO7ZVdzfZ4,Woman00544.wav,Man00903.wav
61,9yWmZ0cmf8M,0VGRhxCkdFU,zHYU0lPO3VY,4q3hw-E6IFY,3m4QSVVBMss,UcNVLU-cRNg,Woman00079.wav,Man00441.wav
62,AJTM04kGxv0,qnqd8exVUZo,5BhC9T2N3Ik,-VnuMccCYuw,VTOf24hbq0A,dvDSgmqbrM0,Woman00947.wav,Man00012.wav
63,2hBAb1haPXA,WUoXPnHr7uc,5m1XqgTGPpo,5VM2NfQD6yQ,20Vh6z6Ie0E,mnSP_ONVS7k,Woman00056.wav,Man00671.wav
64,XhkExVuGU8g,DcBCtNZr5WA,0TLqXXjd-lc,34eiKiEOKN0,CN2QSmhP-HI,5jQIuYPAODg,Woman00025.wav,Man00835.wav
65,jeJGWneS9mU,2p4l3mRciUs,-GNTXQlgTew,2dsXlFM9z2E,BaMBwXQwK3g,I1fcUe9MoMw,Woman00776.wav,Man00496.wav
66,O3eEt4YmKxo,F4DSpgvaSjE,-RrLiuUJN98,-zUo9LWhSfI,w-YAUcPl-HU,NjoKxRwQxCE,Woman00451.wav,Man00556.wav
67,ACj8_gN1zO0,3LM4L50RiGQ,3lgJDngNY4M,21N6-YWbAwM,UIOnnpaqBy8,NsR60ehkHGA,Woman00298.wav,Man00209.wav
68,D6cSU_C6pC4,7ybuxnrQI5Q,0Myyk3V5d_Q,4QmtVEkyGro,2ZYzviKuq9w,GkB_BkyVyPs,Woman00316.wav,Man00514.wav
69,3cJjFfFHr9w,4-AueneNR1I,0NBQZHUW7CA,2eaSZM1AQBA,GHQlBD-6rkA,CAL5CgkKkR4,Woman00171.wav,Man00965.wav
70,EOZCOSCFEVI,3YP4gKlus7A,0J4recCjBTg,2nXAZYtNaoE,8rCYRgePG-4,Bgsy5UpXx8I,Woman00444.wav,Man00115.wav
71,PATsVuzpJDk,5dAkrhwwGAc,5AAwOsKR6K0,5PvQLagm0ZI,4W8BYc8ZMaE,vjW8wmF5VWc,Woman00604.wav,Man00228.wav
72,a4kRYsRGSDE,zJvdcyEK2So,7HA21WpT01Q,0mxckNY_zj4,VG6-MlmCgzI,Yt1czlnCUCg,Woman00647.wav,Man00948.wav
73,ONKW4gO74-k,WQ2PFoHptK8,0gCTTtS39g0,7J2zL6k1mpw,kvIt_9P79Ro,BDH7Fx1APR8,Woman00491.wav,Man00184.wav
74,JsnyaymBHRw,-ouQQtihyXs,--m3t1aj-Kw,3tcOveFZtmA,FxpV97ILuSo,95ThRxhl-ug,Woman00706.wav,Man00742.wav
75,4v0vv6ujNCw,sCeE8Fdoaxk,3iM9djHGNlM,-g3IkryXjpA,pR87Ts3a0e8,5xAzHL8Zlcs,Woman00290.wav,Man00904.wav
76,mKMaxJhgVe4,T3WewdLTNT4,2K7Ab5nUTRE,3A7QrsKD0Rw,H4tyvJJzSDk,pnh_C1w4yGc,Woman00932.wav,Man00958.wav
77,sgYGenlbsfI,DByW9JuyRn8,1FLeEBURdeY,5vkQ3-N6h8A,2cxs73i3l1M,hhU78ykPr5w,Woman00926.wav,Man00405.wav
78,98BqmeKg4h0,DOHswGRbLpI,66u1IIxQjfg,2sSiN4RIyYY,9DCJTAzUwNc,wxKtBDKasgM,Woman00434.wav,Man00043.wav
79,C4QTlsnAn_s,xuVJANaCv1k,5uS2vZJ79hA,4KY8Rcp_Z-A,hFqZZrj0rnM,AkbCw7oVkw0,Woman00915.wav,Man00856.wav
80,yd-tN16ABi8,DytZHEBZDNM,bApZuWFapyg,275YOvS8ZJ0,2OI4QeokeRQ,YKQMolFL2Rs,Woman00309.wav,Man00794.wav
81,GG0cFULRepQ,35s1Z0_Hxdg,5OFkfmI0zmE,2Yo_-mDDS3U,x1S2oreZBWU,KxZ0yDfyaJw,Woman00987.wav,Man00361.wav
82,SXMb-n8VdcA,qKoRE7mUip8,0NgzgoguHu4,3B9EhVDY5TE,-4NLarMj4xU,ByF0pp-dVEo,Woman00041.wav,Man00070.wav
83,2k9nn7LmFzc,-25tHMOOS6s,1vMuTEipRY4,24EtUDzupBw,OKZF0oG1E14,1bSP4wLfMpA,Woman00678.wav,Man00287.wav
84,A740Sd27DU8,7M4yxNIfCBU,4OGILXuDTnI,5ZpMWcNAY8M,DY7ko7iQCug,yIFP8fkq8GU,Woman00803.wav,Man00071.wav
85,8xfQ_MUnsho,-ceSLNoRys0,2rEZYNfstPU,6uhnWXYEWco,ow7xqVk8Wjs,kka6zUtE3h8,Woman00905.wav,Man00933.wav
86,GtsZuxS8ZMU,utLe-Okv_5g,7JdVXrpN_DM,9nTSzqDTXBU,r1W1z_31Obw,C7WAx3n57Hk,Woman00068.wav,Man00450.wav
87,qJsLqDqgFRA,EPTp2s42ZK8,0s_QAaFZkno,NBmPLW7l5UY,2zrPFxxT1VM,eZrrzGgTpfk,Woman00454.wav,Man00756.wav
88,uF3BEt7pLFY,DlMc3Z4CeQY,2lXdtPBOrv0,5zE1aV7GWtE,mBRr_TqLDf4,wR7n4Gg-_ac,Woman00069.wav,Man00306.wav
89,0yVFLPbxUXM,BHjwtSGs5PM,7-8w3YCO7NI,4WvwNZ5WlVg,k4kbpRRRgcQ,gsBXngKgy-Q,Woman00342.wav,Man00635.wav
90,6UGX-r3SK8k,gf6pdaUgY_A,5TKKBzNz2VU,-3dn9BC7NX0,gHWMKew9Xq0,BRTHyoVgZT0,Woman00843.wav,Man00503.wav
91,6zTRHGUCh2w,4E2F4kuoZxE,1RfY2hbFUPo,5bET5z5y0iw,pz8P96myUZk,9oiSwXk8Nsk,Woman00459.wav,Man00842.wav
92,m7el4VmwO7E,5-idCy2A83I,9ok-wZAOMx0,4whV2kUSwHU,6N1LWG4aztA,_GjHL0FkYoY,Woman00514.wav,Man00571.wav
93,wZmzDStUXZU,ZiQ1nfUVpk0,-tDa4Jdsifw,wCghptm2Cog,J1gZRam89EE,DW7Qe-50X_A,Woman00261.wav,Man00435.wav
94,9HVUSYlXLG4,Qhmmt7E3rac,194x4ca2-ek,0Kwf6Y65gbY,fgCTFyzKQtk,ATDi-irUEWc,Woman00686.wav,Man00947.wav
95,ogUUcVyO8xc,fE57mAr9a4E,0dJGBEKm3LY,1MD5HPh1KRQ,nnc6m1pBJ4c,CM2rKZmcR0I,Woman00723.wav,Man00322.wav
96,I4Ay40PPtsY,BeRkbHpEO3Q,xqEDU_unyh8,15K0QS0TNNE,XI9CNsX6JSE,q7sK_xrJz-k,Woman00555.wav,Man00194.wav
97,rmZZnQLkJnY,1Pde82OWf-8,0iRr5WVFIeE,0H3KKjmvVog,YZH-PZBir3E,3XRjrSOVBnQ,Woman00221.wav,Man00342.wav
98,ktn_Dj24b94,4Bx8S5IBqUE,3LBn3tHuNkg,4QhwErEf9Ro,liuCTk2nPG8,V5HMIxuAtv8,Woman00452.wav,Man00096.wav
99,vH8fZ-IBy8s,x4J03jvYlgk,5STnTF6VSYc,YZ9yJI1ZS-Q,p7VmMa6cpSo,ZK3bYlekfm0,Woman00835.wav,Man00067.wav
100,CLqsQL5zHaA,4nY86mAriKk,5iKJBja6p8I,Xpr64mhjoa0,qfwTbBprDVU,WgZ8KAnnTb8,Woman00934.wav,Man00857.wav
101,5YAbC9yuk_Y,s4X0Kyr3SyA,-4b_63bTY84,396QYYdgJq4,Fm6ss1PBC1Q,ax8hXst_b5g,Woman00705.wav,Man00590.wav
102,irEHwVEOI_A,Xz_HR7Hk954,5KeMdzohWW8,3JLbAXsG_9o,OjoDuBkPDM8,nJ3tuDmcdTs,Woman00520.wav,Man00225.wav
103,8mHwIle6WQY,BiJobxhS2q4,-bbMizhZjBY,00MEQBZQnH0,BdhaR2QUGqY,4lcZkOMhKv8,Woman00091.wav,Man00630.wav
104,DoLsrSYhA34,kf2Cs1qKYgY,3DIdOwOKeHE,3B6Zu5kEiMM,opu2tXoVNKU,YDh36ZdneAU,Woman00065.wav,Man00526.wav
105,ADIOYSOswNQ,_YTSGAsJyD0,5BYLeGX7yhg,1SzAncvNroc,6jZ8VNANHwM,ADffHhHMtjU,Woman00858.wav,Man00300.wav
106,31FoIjI0nUE,anZinFYxzjA,1cxjwuwUiTg,0N3IrgWjdm4,azyNUtTHvaE,vEMNk-lbGTE,Woman00319.wav,Man00388.wav
107,SgBgtsxHhEM,vXhqXBrnv50,1rW_fQ2pAXY,2mpwCrLrqPs,oZF73R89bk0,4zZiWBp0b08,Woman00556.wav,Man00914.wav
108,6LmuZcdP-0c,FgQTh6xt-D4,6NKXiyKxwz4,6345KFpRuy0,vYP60jdTupc,bqPCtwibgPg,Woman00750.wav,Man00995.wav
109,T6RuGo9kfr4,3PgyAVcljJg,0Jme9fmMbCM,-47RQghkZ8s,5rsQHo-6DI4,fQiSoVDFRjo,Woman00369.wav,Man00971.wav
110,CbKg6R4FwZI,4SPTWQ_DueI,5D-U-D3tRqI,3yrbDyykVcw,CKkbZCb9Y18,AFWy1qyyMHE,Woman00990.wav,Man00807.wav
111,QrCgptG8kRk,ekbFdkpSFKI,4885yprDlBM,00Z7Gnwk4II,v6A7Iggebm4,1KN3GrwhY8c,Woman00112.wav,Man00436.wav
112,Rl3znkNoNvk,Bs9FNwWEeAc,22B_xs-iUXQ,6Css2IddvGY,jtwRKyQ8-lg,_2P_EJsnBls,Woman00436.wav,Man00714.wav
113,P4ErLGXvCvg,08sj1uQuYts,6b8s4izloHw,0LI5OTfErqo,kH-F9JzC7eE,KfAq7kxHjPk,Woman00460.wav,Man01021.wav
114,YedE8K6EfBk,nwEkhvUErao,1AAJZLZfWBU,-BI0ScQVgOM,YddV91xnUz4,vEN9szBPBkw,Woman00244.wav,Man00319.wav
115,f8neagu5wBA,4eBE0LLVVT4,6lSthRzidX0,5o0ATfH_4Xc,Guu30szkA-0,Pln4GLIMqKY,Woman00913.wav,Man00094.wav
116,JRSnYhFBcoA,RNyBSBLa5iI,0I67rZNqdWU,2QObYAKvF6c,BVt8RgNrwbQ,eBF0zRHCbZE,Woman00739.wav,Man00750.wav
117,BOxWixQ4nE0,IdI5sEKGWtE,3JcMZriTqys,-zQBFQ99tgU,3rvqiSZB4pA,CzMNiypg1I8,Woman01000.wav,Man00776.wav
118,sRNILhT-i-o,0JdVacoORpU,0hri2if2cig,-YaPZovdUoU,w9EGDo9Yybc,qI-Ji4gtBPM,Woman00996.wav,Man00320.wav
119,d5NgWFckX9c,inyWn5C5ljk,4Oun5zhFgoo,4T5ICK5zzJo,J4tjy-0CNm4,qRCjs90-1RQ,Woman00903.wav,Man00551.wav
120,imPfqqKkzlA,SAroxuA25jY,2EpB7lWEly4,w3tnERF28ZA,v0tYHz5mk4I,yMEMzSFbZ2s,Woman00612.wav,Man00145.wav
121,Kf7A13aDsu8,3ynLgFetJbU,KzE3xxPBf6A,2wlIZEM2MS8,16F5fdORzSo,YK1AEw1kf28,Woman00416.wav,Man00984.wav
122,2nF6fL0h0qM,0BV2NBQzQ5A,4CVZxvon_dQ,1bQ84iU2pxk,zmbwvsdXlBU,_RLsXrr0fQo,Woman00991.wav,Man01026.wav
123,6h38BCFGtj8,DMCK2F_vWKo,7560lixWLMI,3XW0QcyNQPI,qOSdHmfwLF4,yzjbAxCnt7U,Woman01022.wav,Man00747.wav
124,Yxwmo0opBUA,4NkSDpODJjo,6xq_CNHfEk4,3_cDfjYTHaM,nJaezskegdc,75_dMqpSM4o,Woman00301.wav,Man00271.wav
125,NyKJ3AoUTLA,acwslDnfdGM,1BbgpMfKcA8,4xhOJZZBO_A,lXrypwLQO3U,WxgolzWTmO4,Woman00089.wav,Man00560.wav
126,QSUnKYEh8BM,xEAq0YItNy8,5nlbvAO9_lA,-Y8v14MTOtw,gMgN50wSnNc,hwe6y-jSqdQ,Woman00507.wav,Man00178.wav
127,8h-SHN2PM9g,5RSaBoDl_9k,qx7sQ66T_uU,Oqm4SBZbzBM,HfzEa06vDLg,ihJT65fZaHY,Woman00511.wav,Man00811.wav
128,KxISkQ1VJew,SX6lDsGKGs4,6WrRFWaJ7Ss,2T_FDKtP6e8,zRpPf62Zvto,MPe6ztPtF0Y,Woman00328.wav,Man00459.wav
129,kqR04GMzOkU,2hVYLo6dcoc,D7-f8QQA-q4,IFMMQYpHc2I,KPnIFb7T7VM,cTJqIkSuf6s,Woman00422.wav,Man00149.wav
130,-9BXvWo46Zw,49_DR4k6gLw,17MiHzxhgoM,2B5-uiCEZBo,jcZQhxb5lyw,D6xrH93lnoc,Woman00830.wav,Man00702.wav
131,O8hL_qre4MY,4IRvD_gtXUc,1y1GfMB3xYI,0BKRfpU8jQ0,g0scnRzoo9M,5h5NdW6cYY0,Woman00722.wav,Man00681.wav
132,Z1WDQv0KsDA,g90aBH7nDEA,2PNVsLgEt0w,-8qoY24z_58,vK9x7UQ9Y7k,zSGWoXDFM64,Woman00935.wav,Man00880.wav
133,-rL7UizKiGQ,olZa2vOpbD4,0-gJKU8BwgQ,0U8gi1WvAeQ,I5mESbabhZY,sUjAb0SfppQ,Woman00256.wav,Man00531.wav
134,AzOcDuWeHhM,-8RuvUaOmz4,4VT3AeKFXug,1DYSOMGU-I8,eiUjc4UPnSs,ZkfKOLp5SxU,Woman00539.wav,Man01032.wav
135,A44folsg-Ec,bMhLmKAJlxY,4MoQ6dEl-GY,6RXD3ceWIOM,pOZWVSiRwv4,Utl5it7YMUs,Woman00911.wav,Man00546.wav
136,EpDkbtCfP0w,H2oGehx_E00,1SGiQsem9Mk,1Ljf-wUC8Mk,CzHZNJEV-3o,5i0zq91Ocz0,Woman00496.wav,Man00059.wav
137,JDjPRyhTy8o,r5L_YtNrluw,3qbBsin8lgE,6AxxUTc50C8,7-mNJ4IUY5Q,_43OOP6UEw0,Woman00356.wav,Man00128.wav
138,F3sFDujZe_I,-NDJFBkCwTU,2RZaOS8lCRQ,Br2L2q9-yCM,jWQu301CEp8,W4eLgBYEEqA,Woman00203.wav,Man00543.wav
139,U3aESY12AyM,2s03RkwH8Mw,5hXxuAvbh_A,-6O-MybzRHk,Q_3GACs__Xs,cBd0yZ27dtA,Woman00629.wav,Man00027.wav
140,-AoetbxSVpU,GIxfFO7y33Y,-l3AqF0GZzI,6WDYOjO-f80,VJ1RqPqF9O4,YZvv4hOlNqw,Woman01034.wav,Man00076.wav
141,2JhpopjcJS0,8LQZ1NDH2LI,4y-0BTPqtcc,1nlCiXb96M4,AElgGuUSSKE,5jT_i7S9QSM,Woman00371.wav,Man00048.wav
142,nvstEBlxUtM,9ZMmbSonhqQ,1Kqyled4p_A,2Ml3bD_XPAk,_h2rFVPCSPE,IqV9wp0IeAo,Woman01032.wav,Man00259.wav
143,xjEnG-IQT1w,ZSD7yqtfhjs,0hTQRcVM860,2IVRHZ5Yhoo,16TsDMjHzYU,Simd4JoehW8,Woman00550.wav,Man00415.wav
144,9MdMwY9_AiY,uDCsTxLq7vg,5lFVN-EOOeE,6GkCJhZG4Io,YLlbLSNxdQ4,pHFHsubQVpg,Woman00057.wav,Man00870.wav
145,NdiPXrwv9sI,7Cbp0tP2odM,5jI6Hrxo4ZE,-8ZL3tBNLoA,4X2aUZFZlzc,zfkPKRn8ah8,Woman00123.wav,Man00721.wav
146,LIZLgIFV3Jk,7S1MgvQcB8M,3dtmmr5CY7Q,6Ggy-17lOF0,7nrOZXbpXBo,e_W17jp40G4,Woman00661.wav,Man00941.wav
147,GmszNtz3fVE,0Mk96zcUQp8,75X-N-whJYA,-9wo95HMngI,8fibq2VXibw,OpWCljke4oQ,Woman00027.wav,Man00208.wav
148,POC1XicUo9E,CgFimvxIzz8,5AeSE9pOl5Y,1i_KB7s0gcE,0DizopdPMBw,vvfs2TUj-D4,Woman00075.wav,Man00555.wav
149,F2csufaGX2A,mfPL29k0Hic,2sV48eBWy9Y,4A8vAs011X0,AdxKsUW2mAo,SYVcaQ1Bzu8,Woman00046.wav,Man00365.wav
150,fyrU9Pz8k6Y,2NZTN9T72Tw,22IlmN1R28o,-TFxatq3IrI,6u1ckcErgcQ,VfARCp38XtA,Woman00530.wav,Man00333.wav
151,3wlqoi8rrb0,1nSUvZlLMt8,0QPyiO-wy5w,FlsX04ya0iU,yZNgqVInQGw,r9AxQfXYLEs,Woman00562.wav,Man00664.wav
152,CuLrP2f3akI,rsc1-Cnpzjo,2Mgx1rH1tqA,1Md6t7yIZxM,2G4lyzAZ1vk,BEhIGoq9tow,Woman00864.wav,Man00939.wav
153,D2_Y8JRzWwI,8MN7DFw-owg,4rk_Sf_T-XE,-Z4M61HzuZI,5LX2Unga1p4,ALcCb2HJmG8,Woman00315.wav,Man00245.wav
154,piy34xrGEts,2b7tG8rob-o,E9KBGwajrw4,3FCGyw1lG9k,BEEknOFrVdU,ryEXhKy1QUI,Woman00405.wav,Man00594.wav
155,1vBrnwzTE-U,fmEft49sPfE,0YkmZb5c0eA,44GQKwaWTVw,iBezxlI_f_c,k6F3gc8f8kI,Woman00202.wav,Man00974.wav
